star_id,star_name,teff_k,mass_solar,radius_solar,metallicity_fe_h,distance_pc,ra_deg,dec_deg,num_planets
217,HD 77946,6007.0,1.1973,1.3174,0.215,99.451,136.777644,46.6724251,1
218,HD 80653,5959.0,1.18,1.22,0.255,109.86,140.3390845,14.3678691,2
219,HD 86226,5863.0,1.019,1.053,0.018,45.683,149.1235154,-24.0991859,2
220,HD 88986,5861.0,1.25,1.543,0.06,33.2673,154.1166869,28.6820708,1
221,HD 89345,5576.0,1.157,1.747,0.421,132.345,154.6710977,10.1288464,1
222,HD 93963 A,5908.0,1.0844,1.0311,0.11,82.3432,162.7766969,25.641065,2
223,HD 95338,5212.0,0.83,0.87,0.04,36.9941,164.8563364,-56.6235564,1
224,HD 97658,5212.0,0.85,0.728,-0.23,21.5618,168.6376584,25.7105962,1
225,HIP 116454,5048.0,0.8,0.758,0.0,62.4491,353.9543517,0.4447043,1
226,HIP 41378,6320.0,1.16,1.273,-0.1,106.289,126.6158279,10.0803708,6
227,HIP 65 A,4590.0,0.781,0.7242,0.18,61.7856,0.1856063,-54.8308228,1
228,HIP 65426,8840.0,1.96,1.77,,108.875,201.1501727,-51.5045384,1
229,HIP 8152,5618.0,0.9373,0.9603,0.007,101.694,26.2092533,-18.4013844,2
230,HIP 94235,5991.0,1.094,1.08,0.0,58.5146,287.7411441,-60.2726358,1
231,HIP 9618,5649.0,0.942,0.9593,-0.018,67.5478,30.9050061,21.2813274,2
232,HIP 97166,5216.0,0.9342,0.8418,0.248,65.9501,296.2446203,74.0628577,2
233,HR 858,6354.0,1.204,1.258,0.025,31.964,42.9849779,-30.8140609,3
234,HR 8799,7400.0,,,-0.5,41.2441,346.8701486,21.1340376,4
235,K2-10,5533.0,0.88,0.956,-0.07,272.36,172.1216476,1.6906217,1
236,K2-100,5945.0,1.15,1.24,0.22,188.959,129.6010863,20.1060074,1
237,K2-105,5373.0,0.94,0.905,0.22,197.989,125.4202985,13.4975122,1
238,K2-110,5010.0,0.738,0.713,-0.34,116.474,207.3497402,-12.2849182,1
239,K2-111,5775.0,0.84,1.25,-0.46,200.394,59.8903081,21.2985263,2
240,K2-114,4899.0,0.863,0.832,0.42,475.758,127.882912,11.922255,1
241,K2-115,5870.0,0.918,0.855,-0.198,413.591,126.5535002,12.281851,1
242,K2-12,5672.0,0.965,1.117,0.0,326.381,173.1919022,2.2446794,1
243,K2-121,4526.0,0.71,0.675,0.04,169.398,126.9366624,17.5793267,1
244,K2-131,5120.0,0.803,0.7595,-0.04,152.509,182.751404,-9.7652392,1
245,K2-136,4500.0,0.742,0.677,-0.02,59.2474,67.4128615,22.8825674,3
246,K2-138,5356.3,0.935,0.863,0.14,202.585,348.9490311,-10.8497391,6
247,K2-140,5585.0,0.96,1.06,0.1,347.917,188.1373172,-9.6076115,1
248,K2-141,4570.0,0.708,0.681,0.0,61.8736,350.9170464,-1.1891827,2
249,K2-157,5334.0,0.89,0.86,0.02,298.373,183.7514959,-5.7820178,3
250,K2-18,3457.0,0.359,0.411,0.12,38.0266,172.560141,7.5878315,2
251,K2-180,5365.0,0.735,0.719,-0.578,203.896,126.4643579,10.246577,1
252,K2-182,5128.0,0.823,0.789,0.022,154.83,130.180046,10.9829509,1
253,K2-199,4491.0,0.711,0.682,-0.01,107.518,208.9014508,-6.1360833,2
254,K2-216,4503.0,0.7,0.72,0.0,115.461,11.4802354,6.3470302,1
255,K2-222,5942.0,0.989,1.115,-0.315,101.321,16.4625203,11.7537171,1
256,K2-232,6154.0,1.188,1.161,0.1,130.72,73.7667927,18.654323,1
257,K2-233,4796.0,0.79,0.71,-0.082,67.5062,230.4799011,-20.2317975,3
258,K2-237,6180.0,1.256,1.236,0.337,314.995,253.7688479,-28.7105836,1
259,K2-238,5630.0,1.19,1.59,0.34,537.963,347.7043164,-7.8575592,1
260,K2-25,3207.0,0.2634,0.2932,0.15,44.9565,63.2739346,15.2477027,1
261,K2-260,6860.0,1.637,1.755,0.334,663.834,76.8673317,16.8676948,1
262,K2-261,5490.0,1.107,1.663,0.372,213.283,163.0323119,0.493167,1
263,K2-263,5368.0,0.88,0.85,-0.08,162.481,129.6821253,15.6806039,1
264,K2-265,5420.0,0.901,0.92,0.033,138.671,342.0316493,-14.4947789,1
265,K2-266,4285.0,0.686,0.703,-0.12,77.5586,157.9356855,0.9372782,4
266,K2-27,5246.0,0.88,0.876,0.12,249.645,171.5151874,1.2306237,1
267,K2-280,5500.0,1.03,1.28,0.33,391.537,291.5953596,-22.2477071,1
268,K2-285,4975.0,0.83,0.787,0.0,154.961,349.3843458,1.3001522,4
269,K2-287,5695.0,1.056,1.07,0.2,158.335,233.0743401,-22.3583447,1
270,K2-29,5358.0,0.94,0.86,0.16,178.475,62.670422,24.4016558,1
271,K2-290,6302.0,1.194,1.511,-0.06,272.909,234.8578846,-20.1988975,2
272,K2-291,5520.0,0.934,0.899,0.08,90.0562,76.44594,21.548199,1
273,K2-292,5725.0,1.0,1.09,0.07,114.293,205.3758786,-9.9460704,1
274,K2-295,4444.0,0.74,0.7,0.14,232.801,19.6101417,6.8167277,1
275,K2-3,3844.0,0.549,0.546,-0.157,44.0727,172.3353708,-1.4551364,3
276,K2-30,5425.0,0.9,0.844,-0.15,333.042,52.3420548,22.2993491,1
277,K2-31,5280.0,0.91,0.78,0.08,110.527,245.4405531,-23.548273,1
278,K2-32,5271.0,0.83,0.86,-0.06,157.682,252.426008,-19.5430504,4
279,K2-329,5282.0,0.901,0.822,0.098,233.237,351.1353785,-5.1641451,1
280,K2-36,4916.0,0.79,0.718,,109.749,169.4490102,3.8665038,2
281,K2-37,5352.0,0.84,0.809,-0.08,179.943,243.4509662,-24.7870527,3
282,K2-38,5731.0,1.03,1.06,0.26,192.69,240.0333095,-23.1894196,2
283,K2-415,3173.0,0.1635,0.1965,-0.13,21.8182,137.2015437,11.8622503,1
284,K2-416,3746.0,0.548,0.554,,120.311,349.2211822,-5.2015032,1
285,K2-417,3861.0,0.569,0.5776,,94.0424,350.1417675,-10.0365901,1
286,K2-419 A,3711.0,0.562,0.541,-0.11,268.685,135.0194934,13.2737056,1
287,K2-55,4300.0,0.688,0.715,0.376,159.522,333.7518786,-17.2508002,1
288,K2-60,5500.0,0.97,1.12,0.01,491.87,338.6062312,-13.7318044,1
289,K2-66,5887.0,1.11,1.67,-0.047,513.877,331.5266563,-10.7115362,1
290,K2-73,5867.0,1.02,1.058,0.04,269.183,335.025662,-9.0560881,2
291,K2-79,5897.0,1.066,1.265,0.035,256.011,55.2559307,13.5191871,1
292,K2-85,4232.0,0.7,0.71,0.14,97.2179,59.464829,18.4649505,1
293,K2-97,4673.0,1.17,4.14,0.328,878.43,127.762837,10.8475571,1
294,K2-98,6260.0,1.246,1.518,-0.044,518.625,126.4882114,11.5110933,1
295,K2-99,6069.0,1.44,2.55,0.2,519.229,208.7737624,-5.4424943,2
296,KELT-1,6516.0,1.335,1.471,0.052,268.43,0.3620995,39.3837953,1
297,KELT-10,5948.0,1.112,1.209,0.09,188.404,284.5483823,-47.0033072,1
298,KELT-11,5375.0,1.44,2.69,0.17,99.1596,161.7069053,-9.3993646,1
299,KELT-12,6279.0,1.591,2.37,0.19,368.03,267.6404906,36.5701761,1
300,KELT-14,5720.0,1.239,1.52,0.32,250.121,108.301409,-42.4097623,1
301,KELT-16,6236.0,1.211,1.36,-0.002,444.586,314.2685227,31.6610186,1
302,KELT-17,7454.0,1.635,1.645,-0.018,226.5,125.617407,13.7353093,1
303,KELT-18,6670.0,1.524,1.908,0.09,321.376,216.5238248,59.4442735,1
304,KELT-19 A,7500.0,1.62,1.83,-0.12,300.276,111.5095293,7.6157759,1
305,KELT-20,8720.0,1.76,1.565,-0.29,136.426,294.6614126,31.2192001,1
306,KELT-21,7598.0,1.458,1.638,-0.405,470.878,304.8000322,32.5810446,1
307,KELT-23 A,5899.0,0.944,0.996,-0.105,126.261,232.1466406,66.3587097,1
308,KELT-24,6426.0,1.268,1.338,0.138,96.5173,161.9090273,71.655727,1
309,KELT-4 A,6206.0,1.201,1.603,-0.116,218.05,157.06262,25.5731366,1
310,KELT-9,10170.0,2.52,2.362,-0.03,204.455,307.8598998,39.9389161,1
311,KOI-1257,5520.0,0.99,1.13,0.27,,291.2250888,44.9272918,1
312,KOI-13,7650.0,1.72,1.74,0.2,519.096,286.9713876,46.8682463,1
313,KOI-134,6160.0,1.407,1.667,0.427,1159.21,295.586598,45.3649371,2
314,KOI-2513,5900.0,0.91,1.2,-0.37,1369.87,293.6688776,46.3792321,1
315,KOI-3503,6001.0,0.858,1.255,,887.064,293.1507654,41.7291532,2
316,KOI-3680,5830.0,1.01,0.96,0.16,921.986,293.2815266,45.3096572,1
317,KOI-4777,3515.0,0.41,0.4,0.1,172.245,287.2621474,42.0322257,1
318,KOI-55,27730.0,0.496,0.203,,1231.02,296.3561853,41.0927315,2
319,KOI-94,6182.0,1.277,1.52,0.0228,477.052,297.3330716,41.8911186,4
320,KPS-1,5165.0,0.892,0.907,0.22,262.706,165.167198,64.9638452,1
321,Kepler-10,5708.0,0.91,1.065,-0.15,185.506,285.679298,50.2414842,3
322,Kepler-101,5667.0,1.17,1.56,0.33,927.981,283.255507,48.3552474,2
